,BMM5_Benign
TAL1,33
RP1-18D14.7,0
STIL,41
CMPK1,429
RP11-511I2.2,0
FOXE3,0
FOXD2-AS1,11
FOXD2,3
RP11-543D5.1,0
TRABD2B,0
RP11-543D5.2,0
FLJ00388,0
RP11-330M19.1,0
RP4-683M8.2,0
RP11-193P11.3,0
AL109659.1,0
RP5-1024N4.2,0
SLC5A9,0
RP5-1024N4.4,0
SPATA6,71
AGBL4,2
BEND5,131
RP11-141A19.1,0
RP11-141A19.2,0
AL645730.2,0
ELAVL4,4
RP11-567C20.2,0
RP11-567C20.3,0
DMRTA2,0
RP5-850O15.4,5
FAF1,74
RP5-850O15.3,0
CDKN2C,104
C1orf185,0
RP11-296A18.3,6
RNF11,105
RP11-296A18.6,0
TTC39A,30
RP11-275F13.1,2
EPS15,416
RP11-253A20.1,4
RP11-191G24.1,0
OSBPL9,320
NRD1,945
RP4-657D16.3,7
RP4-657D16.6,1
RAB3B,33
TXNDC12,736
KTI12,189
RP11-91A18.4,0
TXNDC12-AS1,0
BTF3L4,808
ZFYVE9,12
CC2D1B,89
RP11-155O18.6,0
ORC1,35
PRPF38A,861
ZCCHC11,1049
RP11-25O10.2,0
GPX7,215
FAM159A,70
COA7,41
ZYG11B,152
ZYG11A,2
RP4-631H13.2,0
ECHDC2,388
SCP2,1296
PODN,3
RP11-334A14.5,0
SLC1A7,7
RP11-334A14.8,0
CPT2,117
RP5-1024G6.2,0
C1orf123,480
RP5-1024G6.7,9
MAGOH,1212
RP5-1024G6.5,2
RP5-1024G6.8,11
LRP8,50
RP4-784A16.1,0
RP4-784A16.2,0
RP4-784A16.4,0
RP4-784A16.5,7
RP11-117D22.1,0
RP11-117D22.2,125
DMRTB1,0
GLIS1,0
NDC1,76
YIPF1,140
DIO1,0
HSPB11,871
LRRC42,102
LDLRAD1,0
RP4-758J24.5,41
TMEM59,1770
TCEANC2,88
AL161915.1,7
CDCP2,0
RP11-446E24.4,1
AL357673.1,31
CYB5RL,20
MRPL37,447
SSBP3,181
SSBP3-AS1,0
RP5-997D24.3,3
RP4-705F19.1,0
RP5-866L20.1,0
ACOT11,69
FAM151A,0
MROH7-TTC4,0
MROH7,2
TTC4,37
PARS2,14
TTC22,16
RP11-67L3.2,0
C1orf177,9
DHCR24,11
RP11-67L3.5,0
RP11-67L3.4,0
TMEM61,0
RP11-12C17.2,0
BSND,0
PCSK9,5
USP24,185
RP11-101C11.1,2
RP11-466L17.1,1
RP11-90C4.1,0
RP11-90C4.2,0
RP11-90C4.3,0
RP1-158P9.1,0
RP11-504A18.1,0
RP4-710M16.2,0
PPAP2B,3
PRKAA2,2
C1orf168,0
RP11-378I13.1,0
C8A,0
C8B,0
RP5-1103B4.3,0
DAB1,3
RP6-102O10.1,0
DAB1-AS1,1
RP11-393I23.4,0
OMA1,209
TACSTD2,14
MYSM1,277
JUN,1786
LINC01135,2
RP11-63G10.3,0
RP11-63G10.2,0
RP4-794H19.1,5
RP4-794H19.4,8
RP11-145M4.1,0
