Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
CALD1	694.635720030939	6.632929219951592	0.5927699347086071	1.6586959681320324e-29	3.296432050848578e-26	TRUE
SRPX2	8.032879642725858	6.632794441051335	1.076810115555508	4.354503011731183e-11	2.0560213896210668e-9	TRUE
HSPB8	6.725744591983317	6.6316674762706835	1.680150622260972	1.1952670507285179e-5	1.3104179035093344e-4	TRUE
GPR116	54.250139995784366	6.611541814887804	1.194941552642553	7.500828983258798e-9	2.0651841612471107e-7	TRUE
COL8A1	32.90170225711886	6.60814710989298	0.89803513390026	2.4647504946844267e-14	2.5178462880512267e-12	TRUE
HEPH	3.4553132541055027	6.601742103488199	1.4823954410744793	7.992876662217521e-7	1.2588780742992596e-5	TRUE
PPIC	93.46737186935123	6.596793831089393	0.8223846061031288	3.128081191477057e-16	5.065406142731848e-14	TRUE
HOXD1	0.38332752318751334	6.577367025538885	2.0112959390124865	0.10877769074871442	0.23486312073655763	FALSE
NES	12.142422234294596	6.553740407156929	0.999628926861361	9.082020391094899e-12	5.143576367091337e-10	TRUE
CPXM2	2.7491250392065294	6.55341974289192	2.037477670020637	3.2839368036461573e-4	0.0021991078194008905	TRUE
FLRT3	2.3046458059201673	6.549492006372099	1.831531717155979	5.041956124399332e-5	4.4860481414527395e-4	TRUE
EDNRB	39.98674796833476	6.535402955696802	0.8241946504051478	9.388965146194268e-16	1.3775313225567309e-13	TRUE
FN1	581.0776232182811	6.5352263782069295	0.5536886507646739	1.1831654135317506e-32	3.9668372388763865e-29	TRUE
LPHN2	20.33945452580396	6.510985951434435	0.7749109386724881	8.177056697589288e-18	1.9016876219787175e-15	TRUE
SMOC2	25.798453136967318	6.494637996092449	0.8717437820865525	2.0051361659766142e-14	2.1074173905968637e-12	TRUE
MYL9	311.8844714486528	6.49459569022876	0.6107364610685745	7.391867672698947e-27	1.0772907946191447e-23	TRUE
FAM26E	1.8979510612736412	6.4843777071719435	1.8431855698730075	1.397411840568228e-4	0.0010711367547917964	TRUE
RHOJ	18.206317883434465	6.484227793248527	0.8915271943979759	3.429552198372854e-14	3.4078836640285893e-12	TRUE
SOD3	4.3109705893432935	6.481854541665259	1.2065567573713576	7.666162800237487e-10	2.6686303340126066e-8	TRUE
GPIHBP1	10.461081506248522	6.479596388900756	1.173035766590607	1.2410451646397695e-9	4.11068005215e-8	TRUE
TMEM233	6.77139040916158	6.477855970444402	1.2880790275553908	7.19397329379022e-8	1.5121870209187307e-6	TRUE
FAM13C	21.072195628589032	6.45362467105424	0.8540554016347066	4.582784179589243e-15	5.596885192737455e-13	TRUE
CCL14	10.668715162198602	6.451293765820443	1.0234671181741832	5.444209032024056e-11	2.537651463733004e-9	TRUE
MATN3	6.962425131649115	6.443294397540383	1.174796747677762	8.34999608877483e-9	2.2774457834078352e-7	TRUE
ANO1	6.748576965727501	6.427662591337549	1.367457478394562	5.349819832348872e-7	8.885989204873318e-6	TRUE
CSRNP3	5.127590331090005	6.425220850853936	1.0933004835377516	3.3241034540226755e-11	1.6256873737894789e-9	TRUE
PRG4	48.102260626694864	6.412989737151712	0.8207134583258865	1.24225430124367e-15	1.7634364467199919e-13	TRUE
PLA2G5	4.975459750939184	6.411355812063158	1.1058432919309324	8.677975809445389e-11	3.8716169218425645e-9	TRUE
SLCO2A1	16.049157328914355	6.383716345220708	1.189160408633078	2.1821220533444014e-8	5.26264357664303e-7	TRUE
FBXL7	5.496744305783708	6.383375903021394	1.1510785614263757	2.924510276459568e-10	1.1157542609717732e-8	TRUE
CTD-2536I1.1	1.769786462495241	6.352013349802654	1.7563508845558247	5.13664640570725e-5	4.559164720875607e-4	TRUE
ANGPTL4	107.82347512113785	6.327332601133185	0.5993018167720681	1.3383992021200612e-26	1.828671559846666e-23	TRUE
